date,fed_rate,ecb_rate,beac_rate,eur_usd,brent,vix,china_growth,cemac_inflation,delta_fed,delta_ecb,eur_usd_yoy,brent_yoy
2008-Q1,2.61,3.0,5.25,1.5007,96.8554,26.1202,6937360000000.0,4.1835,,,,
2008-Q2,2.0,3.0,5.25,1.5625,121.2044,20.673,7871180000000.0,5.1421,-0.61,0.0,,
2008-Q3,1.81,3.25,5.5,1.503,114.685,25.0734,8246010000000.0,7.1523,-0.19,0.25,,
2008-Q4,0.16,2.0,4.75,1.3202,55.0284,58.6047,8869900000000.0,6.7916,-1.65,-1.25,,
2009-Q1,0.18,0.5,4.5,1.3035,44.5221,45.0,7397920000000.0,7.8771,0.02,-1.5,-13.1405,-54.0324
2009-Q2,0.21,0.25,4.5,1.3619,58.8775,33.0157,8386580000000.0,6.1992,0.03,-0.25,-12.8384,-51.423
2009-Q3,0.15,0.25,4.25,1.4304,68.138,25.4862,8984690000000.0,3.8711,-0.06,0.0,-4.8303,-40.5868
2009-Q4,0.12,0.25,4.25,1.4762,74.5658,23.0719,10082580000000.0,2.6886,-0.03,0.0,11.8164,35.5042
2010-Q1,0.16,0.25,4.25,1.3821,76.418,20.1497,8750129999999.998,0.2233,0.04,0.0,6.0299,71.6406
2010-Q2,0.18,0.25,4.25,1.274,78.4892,26.3914,9934740000000.0,0.2665,0.02,0.0,-6.4542,33.3093
2010-Q3,0.19,0.25,4.0,1.2938,76.8234,24.2836,10596370000000.0,1.5797,0.01,0.0,-9.5498,12.7468
2010-Q4,0.18,0.25,4.0,1.3586,86.54,19.3184,11930680000000.0,2.162,-0.01,0.0,-7.9664,16.0586
2011-Q1,0.14,0.25,4.0,1.3699,105.4497,18.6148,10446990000000.0,1.5486,-0.04,0.0,-0.8827,37.9907
2011-Q2,0.09,0.5,4.0,1.4399,117.0125,17.4824,11889590000000.0,2.2729,-0.05,0.25,13.022,49.081
2011-Q3,0.08,0.75,4.0,1.4123,113.2351,30.5836,12656220000000.0,2.7248,-0.01,0.25,9.1591,47.3966
2011-Q4,0.07,0.25,4.0,1.3476,109.4208,29.9395,13801210000000.0,3.0962,-0.01,-0.5,-0.8097,26.4396
2012-Q1,0.13,0.25,4.0,1.3121,118.7106,18.204,11735760000000.0,4.2343,0.06,0.0,-4.2193,12.5756
2012-Q2,0.16,0.25,4.0,1.2836,107.7498,20.0357,13132060000000.0,3.585,0.03,0.0,-10.8549,-7.916
2012-Q3,0.14,0.0,4.0,1.2508,109.6284,16.1927,13808960000000.0,3.7367,-0.02,-0.25,-11.4352,-3.1851
2012-Q4,0.16,0.0,4.0,1.2977,110.1478,16.7529,15181200000000.0,3.0783,0.02,0.0,-3.7029,0.6644
2013-Q1,0.14,0.0,4.0,1.3196,112.4433,13.527,12944960000000.0,2.5093,-0.02,0.0,0.5716,-5.2795
2013-Q2,0.09,0.0,3.25,1.3064,102.5647,14.837,14351870000000.0,2.0457,-0.05,0.0,1.7763,-4.8122
2013-Q3,0.08,0.0,3.25,1.3252,110.2286,14.2797,15222270000000.0,0.9371,-0.01,0.0,5.9482,0.5475
2013-Q4,0.09,0.0,3.25,1.3619,109.2264,14.2328,16777230000000.0,2.5276,0.01,0.0,4.9472,-0.8365
2014-Q1,0.08,0.0,3.25,1.3705,108.1419,14.8289,14075980000000.0,2.6417,-0.01,0.0,3.8572,-3.8254
2014-Q2,0.1,-0.1,3.25,1.3716,109.6941,12.7383,15648960000000.0,2.9003,0.02,-0.1,4.9908,6.9511
2014-Q3,0.09,-0.2,2.95,1.325,101.8998,13.0727,16548470000000.004,3.5136,-0.01,-0.1,-0.0151,-7.5559
2014-Q4,0.12,-0.2,2.95,1.2497,76.4292,16.0723,18082890000000.0,2.6103,0.03,0.0,-8.2385,-30.0268
2015-Q1,0.11,-0.2,2.95,1.1246,53.9771,16.5648,15113790000000.0,2.2475,-0.01,0.0,-17.9424,-50.0868
2015-Q2,0.13,-0.2,2.95,1.1069,61.6511,13.7402,16854970000000.004,3.1896,0.02,0.0,-19.2986,-43.7973
2015-Q3,0.14,-0.2,2.45,1.1119,50.4449,19.3073,17659770000000.0,2.3929,0.01,0.0,-16.083,-50.4956
2015-Q4,0.24,-0.3,2.45,1.0954,43.5569,17.0333,19257290000000.0,1.6364,0.1,-0.1,-12.347,-43.0101
2016-Q1,0.36,-0.4,2.45,1.1035,33.8427,20.4862,16241000000000.0,1.9672,0.12,-0.1,-1.8762,-37.3017
2016-Q2,0.38,-0.4,2.45,1.1295,45.5669,15.6759,18140820000000.0,1.4553,0.02,0.0,2.0417,-26.0891
2016-Q3,0.4,-0.4,2.45,1.1163,45.8011,13.2339,19101060000000.0,0.8366,0.02,0.0,0.3957,-9.2057
2016-Q4,0.54,-0.4,2.45,1.078,49.0522,14.0979,21156620000000.0,0.6185,0.14,0.0,-1.5885,12.6164
2017-Q1,0.79,-0.4,2.95,1.0661,53.5945,11.6919,18186770000000.0,0.2003,0.25,0.0,-3.3892,58.3635
2017-Q2,1.04,-0.4,2.95,1.1008,49.5541,11.4263,20195030000000.0,0.68,0.25,0.0,-2.5409,8.7502
2017-Q3,1.15,-0.4,2.95,1.1755,52.0994,10.9443,21278930000000.0,0.9035,0.11,0.0,5.3032,13.7514
2017-Q4,1.3,-0.4,2.95,1.1778,61.3965,10.3079,23542870000000.0,1.1128,0.15,0.0,9.2579,25.1656
2018-Q1,1.51,-0.4,2.95,1.2289,66.8635,17.3548,20203570000000.0,1.2058,0.21,0.0,15.2706,24.7581
2018-Q2,1.82,-0.4,2.95,1.1922,74.5339,15.3375,22396220000000.0,2.2073,0.31,0.0,8.3031,50.4091
2018-Q3,1.95,-0.4,2.95,1.1629,75.0702,12.8568,23447430000000.0,2.3751,0.13,0.0,-1.0719,44.0903
2018-Q4,2.27,-0.4,3.5,1.1414,68.7639,21.0537,25880890000000.0,3.0906,0.32,0.0,-3.0905,11.9997
2019-Q1,2.41,-0.4,3.5,1.1354,63.0973,16.47,21716830000000.0,2.4401,0.14,0.0,-7.6084,-5.6327
2019-Q2,2.38,-0.4,3.5,1.1237,69.0365,15.183,24150260000000.0,1.2833,-0.03,0.0,-5.7457,-7.3757
2019-Q3,2.04,-0.5,3.5,1.112,61.9458,15.9602,25104630000000.0,0.835,-0.34,-0.1,-4.377,-17.4828
2019-Q4,1.55,-0.5,3.5,1.1075,63.2678,13.9858,27679800000000.0,1.0099,-0.49,0.0,-2.97,-7.9927
2020-Q1,0.65,-0.5,3.25,1.1022,50.2748,31.2245,20524480000000.0,1.0982,-0.9,0.0,-2.9241,-20.3218
2020-Q2,0.08,-0.5,3.25,1.1016,29.699,34.4937,24834770000000.0,1.6901,-0.57,0.0,-1.9667,-56.9807
2020-Q3,0.09,-0.5,3.25,1.1698,42.9123,25.8089,26435570000000.0,1.8638,0.01,0.0,5.1978,-30.7261
2020-Q4,0.09,-0.5,3.25,1.1925,44.3165,25.6217,29561880000000.0,0.8375,0.0,0.0,7.6749,-29.9541
2021-Q1,0.07,-0.5,3.25,1.2045,61.0387,23.2025,24920020000000.0,1.3816,-0.02,0.0,9.2814,21.4101
2021-Q2,0.08,-0.5,3.25,1.205,68.9818,18.0,28284920000000.0,0.9315,0.01,0.0,9.3863,132.2698
2021-Q3,0.08,-0.5,3.25,1.1784,73.5091,18.2873,29128810000000.0,1.2355,0.0,0.0,0.7352,71.3008
2021-Q4,0.08,-0.5,3.5,1.1437,79.6091,19.2752,32589940000000.0,1.6762,0.0,0.0,-4.0922,79.6376
2022-Q1,0.2,-0.5,4.0,1.1216,100.8723,25.3729,27150920000000.0,3.3805,0.12,0.0,-6.8825,65.2596
2022-Q2,1.21,-0.5,4.0,1.0646,113.8352,27.3984,29391950000000.0,5.0024,1.01,0.0,-11.6515,65.0221
2022-Q3,2.56,0.75,4.5,1.0066,100.7081,24.7927,30927060000000.0,6.1924,1.35,1.25,-14.5791,37.0009
2022-Q4,4.1,2.0,4.5,1.0218,88.7237,25.0027,33550790000000.0,6.9086,1.54,1.25,-10.6584,11.4492
2023-Q1,4.65,3.0,5.0,1.073,81.0659,20.6841,28499660000000.0,6.4558,0.55,1.0,-4.3331,-19.6351
2023-Q2,5.08,3.5,5.0,1.0888,77.9878,16.4412,30803760000000.0,5.277,0.43,0.5,2.2732,-31.4906
2023-Q3,5.33,4.0,5.0,1.0884,86.6514,15.0132,31999230000000.0,4.7851,0.25,0.5,8.1264,-13.9579
2023-Q4,5.33,4.0,5.0,1.0761,84.0124,15.2862,,4.5898,0.0,0.0,5.3142,-5.3101
2024-Q1,5.33,4.0,5.0,1.0855,82.9197,13.7125,,3.6276,0.0,0.0,1.165,2.2868
2024-Q2,5.33,3.75,5.0,1.0766,84.6821,13.9803,,4.0173,0.0,-0.25,-1.1205,8.5838
2024-Q3,5.13,3.5,5.0,1.0987,80.0051,17.0667,,3.967,-0.2,-0.25,0.9463,-7.6702
2024-Q4,4.48,3.0,5.0,1.0668,74.6561,17.3632,,3.8482,-0.65,-0.5,-0.8642,-11.1368
