date,delta_inflation,gdp_growth,m2_growth,dlog_fx_reserves,fiscal_balance,dummy_2016q4,dummy_covid,brent_yoy,eur_usd_yoy,delta_fed,delta_ecb,reserves_flag
2010-Q1,-0.4949,2.2834,9.4316,-0.0019,8.7,0,0,71.6406,6.0299,0.04,0.0,0.0
2010-Q2,-0.6016,2.641,11.5062,0.0344,-94.8,0,0,33.3093,-6.4542,0.02,0.0,0.0
2010-Q3,1.4377,3.2765,15.1378,-0.0304,-15.5,0,0,12.7468,-9.5498,0.01,0.0,0.0
2010-Q4,1.0431,3.3811,18.3074,0.0313,-37.7,0,0,16.0586,-7.9664,-0.01,0.0,0.0
2011-Q1,0.2884,3.1638,12.2827,0.0132,158.5,0,0,37.9907,-0.8827,-0.04,0.0,0.0
2011-Q2,-0.0451,2.0637,10.9204,0.1431,-134.4,0,0,49.081,13.022,-0.05,0.25,0.0
2011-Q3,0.4221,3.7577,10.9185,-0.0239,-123.2,0,0,47.3966,9.1591,-0.01,0.25,0.0
2011-Q4,-0.4681,4.5079,9.7428,0.0521,-117.5,0,0,26.4396,-0.8097,-0.01,-0.5,0.0
2012-Q1,-0.7196,7.1637,7.2415,0.01,36.8,0,0,12.5756,-4.2193,0.06,0.0,0.0
2012-Q2,0.8124,6.7448,4.3294,0.005,-89.4,0,0,-7.916,-10.8549,0.03,0.0,0.0
2012-Q3,-0.6049,4.163,2.7333,0.0719,-51.1,0,0,-3.1851,-11.4352,-0.02,-0.25,0.0
2012-Q4,0.0069,0.6252,1.8731,0.0026,-82.9,0,0,0.6644,-3.7029,0.02,0.0,0.0
2013-Q1,0.3114,3.802,8.9013,-0.0597,37.0,0,0,-5.2795,0.5716,-0.02,0.0,0.0
2013-Q2,-0.6656,3.545,12.7841,0.0706,-253.4,0,0,-4.8122,1.7763,-0.05,0.0,0.0
2013-Q3,-0.144,5.2489,11.3683,-0.056,-191.2,0,0,0.5475,5.9482,-0.01,0.0,0.0
2013-Q4,0.2081,7.4289,10.8161,0.0351,-215.7,0,0,-0.8365,4.9472,0.01,0.0,0.0
2014-Q1,-0.6972,3.911,9.2243,-0.0511,68.15,0,0,-3.8254,3.8572,-0.01,0.0,0.0
2014-Q2,-0.3332,5.1535,8.686,0.0284,-302.46,0,0,6.9511,4.9908,0.02,-0.1,0.0
2014-Q3,1.7788,4.6082,8.0098,-0.0292,-150.86,0,0,-7.5559,-0.0151,-0.01,-0.1,0.0
2014-Q4,-0.4062,9.1598,10.2952,0.0065,-265.03,0,0,-30.0268,-8.2385,0.03,0.0,0.0
2015-Q1,0.5835,5.3166,8.0899,-0.169,-63.9,0,0,-50.0868,-17.9424,-0.01,0.0,0.0
2015-Q2,1.0199,6.3503,6.1754,-0.0103,-54.0,0,0,-43.7973,-19.2986,0.02,0.0,0.0
2015-Q3,-1.7355,7.2478,9.534,-0.0943,-83.67,0,0,-50.4956,-16.083,0.01,0.0,0.0
2015-Q4,-0.476,3.8345,9.346,-0.0224,-211.96,0,0,-43.0101,-12.347,0.1,-0.1,0.0
2016-Q1,-0.2522,4.9456,11.3262,-0.1531,-181.3,0,0,-37.3017,-1.8762,0.12,-0.1,0.0
2016-Q2,-0.4403,5.7042,11.5157,-0.1686,-178.1,0,0,-26.0891,2.0417,0.02,0.0,1.0
2016-Q3,-0.4139,3.1619,9.3976,-0.2349,-193.8,0,0,-9.2057,0.3957,0.02,0.0,1.0
2016-Q4,-0.256,4.3711,6.2099,-0.1449,-703.8,1,0,12.6164,-1.5885,0.14,0.0,1.0
2017-Q1,0.0663,4.5577,4.2792,-0.1119,-6.85,0,0,58.3635,-3.3892,0.25,0.0,1.0
2017-Q2,0.119,3.9138,5.555,-0.0525,-122.95,0,0,8.7502,-2.5409,0.25,0.0,1.0
2017-Q3,0.1316,4.6976,5.4098,0.1383,-223.9,0,0,13.7514,5.3032,0.11,0.0,0.0
2017-Q4,0.1945,1.0782,5.7659,0.065,-470.9,0,0,25.1656,9.2579,0.15,0.0,0.0
2018-Q1,-0.0286,3.9129,7.1698,-0.0359,-152.55,0,0,24.7581,15.2706,0.21,0.0,0.0
2018-Q2,-0.0347,4.7185,8.3774,-0.0098,-115.06,0,0,50.4091,8.3031,0.31,0.0,0.0
2018-Q3,0.0568,2.3254,7.1496,0.0368,-186.71,0,0,44.0903,-1.0719,0.13,0.0,0.0
2018-Q4,0.8972,4.8752,10.7658,0.1696,-132.49,0,0,11.9997,-3.0905,0.32,0.0,0.0
2019-Q1,0.4829,3.0449,11.9265,0.0291,-0.81,0,0,-5.6327,-7.6084,0.14,0.0,0.0
2019-Q2,0.2869,3.4454,14.409,0.0959,-330.4,0,0,-7.3757,-5.7457,-0.03,0.0,1.0
2019-Q3,0.0778,4.0653,16.1091,-0.0476,-256.07,0,0,-17.4828,-4.377,-0.34,-0.1,0.0
2019-Q4,-0.2019,3.3422,12.0329,0.0905,-295.0,0,0,-7.9927,-2.97,-0.49,0.0,0.0
2020-Q1,0.1887,1.3959,11.7943,0.0242,-54.12,0,1,-20.3218,-2.9241,-0.9,0.0,0.0
2020-Q2,-0.1581,-2.0078,10.5715,0.0694,-266.45,0,1,-56.9807,-1.9667,-0.57,0.0,0.0
2020-Q3,0.0485,0.3875,10.6354,-0.061,-62.71,0,1,-30.7261,5.1978,0.01,0.0,0.0
2020-Q4,-0.2578,1.3184,12.1761,-0.0959,-388.46,0,0,-29.9541,7.6749,0.0,0.0,0.0
2021-Q1,-0.3486,2.8082,11.8982,-0.0912,98.97,0,0,21.4101,9.2814,-0.02,0.0,0.0
2021-Q2,0.2148,4.8625,16.0707,0.0377,-319.13,0,0,132.2698,9.3863,0.01,0.0,0.0
2021-Q3,0.2971,3.1178,16.3889,0.1259,-263.97,0,0,71.3008,0.7352,0.0,0.0,0.0
2021-Q4,0.2641,2.5847,16.4055,0.0438,-273.58,0,0,79.6376,-4.0922,0.0,0.0,0.0
2022-Q1,1.7419,3.6359,16.3324,0.0356,252.5,0,0,65.2596,-6.8825,0.12,0.0,0.0
2022-Q2,1.4319,4.2774,10.2133,0.1397,-157.69,0,0,65.0221,-11.6515,1.01,0.0,1.0
2022-Q3,1.1239,3.9725,12.3557,0.0852,-214.38,0,0,37.0009,-14.5791,1.35,1.25,1.0
2022-Q4,0.8058,3.0626,11.6985,0.1147,-212.16,0,0,11.4492,-10.6584,1.54,1.25,1.0
2023-Q1,0.1989,2.9081,11.3599,-0.0106,329.09,0,0,-19.6351,-4.3331,0.55,1.0,1.0
2023-Q2,-0.0157,3.4183,12.4733,0.0418,-409.53,0,0,-31.4906,2.2732,0.43,0.5,0.0
2023-Q3,-0.594,2.853,5.4508,-0.0778,-14.54,0,0,-13.9579,8.1264,0.25,0.5,0.0
2023-Q4,-1.1102,3.8041,5.4372,0.0512,-174.65,0,0,-5.3101,5.3142,0.0,0.0,0.0
2024-Q1,-1.2641,3.884,6.0681,-0.0599,85.74,0,0,2.2868,1.165,0.0,0.0,0.0
2024-Q2,-0.5334,2.3751,5.8439,-0.0052,-190.65,0,0,8.5838,-1.1205,0.0,-0.25,0.0
2024-Q3,-0.414,3.3587,8.2572,-0.0044,-109.94,0,0,-7.6702,0.9463,-0.2,-0.25,0.0
2024-Q4,0.6696,4.2353,7.4461,0.1271,-308.42,0,0,-11.1368,-0.8642,-0.65,-0.5,0.0
